review,stars,address,name
"Remains my favorite restaurant in NYC. I visit about once a month since it's by my work. I also tend to take out-of-town guests here. The steaks are always prepared very well and the sharable sides really are shareable. The staff has the upmost professionalism and are extremely educated in their product. Wine lockers are cool and the wine list, via iPad, is extensive and diverse. The Paul Hobbs cabernet is my favorite and I'm delighted they carry it there. xo",5.0,"120 Broadway, New York, NY 10271",The Capital Grille
"Probably torn between a 2 and a 3, but I'll be generous. Utterly uninspiring for a group dinner, but group dinners tend to have worse food and service from restaurants than normal meals (hence the 3 vs 2 stars). Our three course prix fixe included a salad, choice of filet, chicken, or salmon, and a selection of desserts which included the espresso cake, cheesecake, and fresh berries. Bread service to start was standard, though I did appreciate that the bread was warm and that there was a large selection. The salad course was utterly dismal - it looked and tasted like they tossed a bag of salad from the local Food Emporium onto a plate with some dressing. Some people had nothing on their plates except for lettuce, and the 'parmesan' that they promised on the menu was nonexistent. Luckily I had half a cherry tomato and a tiny shred of carrot to break the monotony. My main was a medium rare filet, which was fine (for a steak restaurant of the caliber that Capital Grille tries to be, the steak should be at least fine). It came with a pitiful pile of plain arugula that I didn't touch. I also tried my friend's salmon, which was again fine but nothing special. The mains were supposed to come with sides of creamed spinach and mashed potatoes, but our table didn't receive those until 20 minutes after everyone had gotten their main dishes, despite asking where they were several times. By that time, all the food was getting cold. By the end of our entrees, it was clear they were trying to hurry us out as the waiters  cleared everyone's plates as soon as it looked like they were done eating, nevermind the status of the rest of the table. Dessert was probably the highlight of the meal, offering up some solid classics. I especially liked the cheesecake, which struck a balance between decadence and lightness. Bottom line - there are much better steakhouses in Manhattan, and even in FiDi. Go somewhere that's not a chain when you're in this city, save Capital Grille for when you're stuck elsewhere.",3.0,"120 Broadway, New York, NY 10271",The Capital Grille
"If  you made a lot of money that day in the stock market and it's burning your packet,  that's the perfect place for you. Love  the wine  selection but food is nothing special . Too much extra dressing , too much extra souses, gives you that heavy feelings afterwards. But overall if you want to feel like big shot ,  go for it.",4.0,"120 Broadway, New York, NY 10271",The Capital Grille
I really wanted to give it a four-star as I enjoyed the restaurant week menu very much last year. 5 star service for sure though. Lunch was crowded but we had reservation at 12pm. We were seated downstairs and had the room to ourselves for three minutes before it was filled up quickly. New England clam chowder was good as it wasn't salty like what I had in many restaurants. The dry aged sirloin was truly disappointing. We ordered medium rare and it was really dry and tough to eat. We had to ask for some steak sauce which only helped a bit. My friend loved her her cream brûlée and my flourless chocolate espresso cake was pretty good. The coffee was perfect and I loved it when the milk was warm.,3.0,"120 Broadway, New York, NY 10271",The Capital Grille
"*This is a NYC Restaurant Week review** Had to find anything wrong at the famous Capital Grille. Service throughout the meal was spot on. Very attentive and never waited longer than 5 mins for bread to be replenished or a drink to be refilled. The items I chose were the Caesar Salad, Salmon & the Creme brûlée. All 3 items were what you would hope for. Good portion of Salad not drowned in dressin. Salmon cooked perfectly medium with a wonderful honey glazed reduction (could have used a tad more sauce) and finished off with a delicious creme brûlée that with just a little bit more crunch on the top would have made it perfect! All in all this place was well deserving of the 5 stars.",5.0,"120 Broadway, New York, NY 10271",The Capital Grille
"The dessert here is amazing!!!! So make sure you have enough space for the dessert. Great service, good food and amazing dessert. Old classic steak house with good vibe. The special of the day was lobster bisque and that was good! Lots of lobster in it. Steaks here are  very straight forward simple one. Make sure to ask for an additional sauce so that you can enjoy more flavor. We ordered T-bone steak and Filet Mignon. Preferred the filet mignon. My recommendation for the dessert is coconut cream pie. Big and shareable portion. That is delicious. This is a very classic steakhouse. Nothing really special but you cannot go wrong here. The service staff Deric answered all our questions and very helpful. Thank you Deric!",4.0,"120 Broadway, New York, NY 10271",The Capital Grille
"The food (steak, tuna, etc) is consistently good. However, we decided to stop going there. In other restaurants such as Mark's Joseph and Tribeca Grills, we are recognized and greeted like friends/family after eating at those places 3 or 4 times.  Yes, I am superficial and being recognized feeds my ego :-).  Capital Grille does not even seem to care that we went there a lot.  So, we stop going there now.",3.0,"120 Broadway, New York, NY 10271",The Capital Grille
"Capital grille is within my work building at 120 Broadway. What I love about my building itself is the ceiling which was featured in Wolf of Wall Street! As soon as you enter capital grille you hear the numerous business conversations as you pass by to find a seat at the bar. If you choose to sit by the bar, the service is great. The bartenders are friendly and are accommodating to how you would like your drink. You'll always here one business man call them by them name and say ""the usual"". I cane here with my boss  for business right before the our holiday party. He knew the waiter by his name, Brian. He was extremely Accommodating in providing me with a vegetarian pasta option. The pasta was delicious and the portion was amazing. For drinks I had 3 rounds of stoli doli! What I LOVE about capital grill is that their drinks are STRONG. Now there have been times where it is a bit overwhelming so I recommend giving this feedback to your waiter as they are extremely accommodating and nice to adjust your drink preference. I have great memories at this Capital Grill in particular as it is where my company and I spent out boss's last day. My boss was nice enough to get an gorgeous room in which sat over 10 people. We were able to shut the doors of the room to silence the business chit chats of the main floor. We were told the chefs special which sounded drool worthy but we stuck to appetizers and drinks. The service was great, the food was delicious and the drinks were able to keep me calm for the awkward conversations that were occasionally Carried out throughout the night This place is expensive but what do you expect? You're on Wall Street baby",5.0,"120 Broadway, New York, NY 10271",The Capital Grille
"Came here for a team lunch to celebrate the holidays. The decor was really nice and we got seated upstairs. Appetizer was a choice of clam chowder and salad. I opted for the salad. Simple yet flavorful. For mains I chose the lobster and crab burger. I think there were three other options, one is grilled salmon and maybe a steak sandwich and a grilled chicken? The lobster and crab patty was legit with chunky flakes of the shellfish. Just a little bit too salty to my liking. Otherwise it would have been perfect. It also came with green beans and mashed potato to share. Dessert was my favorite part of the lunch. The dessert platter includes a cup of mixed berries topped with some creme anglaise, a slice of super rich flourless chocolate cake which is to die for and a simple creme brûlée. It's meant to be shared but I want to finish the whole thing! It's that good :)",4.0,"120 Broadway, New York, NY 10271",The Capital Grille
"Love this place for the restaurant week deals! The services were very good even during the busy days. Make sure to make reservations before the visit. This place tends to get very crowded, especially during lunch. The steak salad was just the right amount that I needed. Plus the dessert, yum! I always get the cheesecake, which is creamy with hard caramel top (similar to a creme brulee). It's definitely something unusual.",4.0,"120 Broadway, New York, NY 10271",The Capital Grille
